id,uuid,name,exercise_base,status,description,creation_date,category,muscles,muscles_secondary,equipment,language,license,license_author,variations
274,3f7b893e-a089-450f-b8cc-ec3ec17d3bf3,Dumbbell Triceps Extension,211,2,"<p>Position one dumbbell over head with both hands under inner plate (heart shaped grip).</p>
<p>With elbows over head, lower forearm behind upper arm by flexing elbows. Flex wrists at bottom to avoid hitting dumbbell on back of neck. Raise dumbbell over head by extending elbows while hyperextending wrists. Return and repeat.</p>",2014-09-26,8,[5],"[2, 4]",[3],2,1,tuninx,"[344, 274, 89, 90]"
414,6ec02111-96f7-4e66-ad1f-82d102580ed6,Extenseurs - Face,221,2,"<p>En face</p>
<ol>
<li>Tirer</li>
<li>relacher doucement</li>
</ol>",2016-09-05,11,[],[],[],2,2,geantvert,[]
394,659f3fb9-2370-42fb-9c29-9aaf65c7a7de,Facepull,222,2,"<p>Attach a rope to a pulley station set at about chest level.</p>
<p>Step back so you're supporting the weight with arms completely outstretched and assume a staggered (one foot forward) stance. Bend the knees slightly for a stable base.</p>
<p>Retract the scapulae (squeeze your partner's finger with your shoulder blades) and pull the center of the rope slightly up towards the face. A good cue is to think about pulling the ends of the rope apart, not just pulling back.</p>
<p>As you near your face, externally rotate so your knuckles are facing the ceiling.</p>
<p>Hold for one second at the top position and slowly lower.</p>",2016-04-20,13,[9],[],[],2,2,abeworld,[]
303,ce37341b-379c-4611-ac9f-830c6c3c397a,Flutter Kicks,235,2,"<p>-Laying on the back, lift your straightened legs from the ground at a 45 degree angle. </p>
<p>-As your Left foot travels downward and nearly touches the floor, your Right foot should seek to reach a 90 degree angle, or as close to one as possible.</p>
<p>-Bring your R foot down until it nearly touches the floor, and bring your L foot upwards.  Maintain leg rigidity throughout the exercise.  Your head should stay off the ground, supported by tightened upper abdominals.</p>
<p>-(L up R down, L down R up, x2)  ^v, v^, ^v, v^ = 1 rep</p>
<p>-Primarily works the Rectus Abdominus, the hip flexors and the lower back. Secondarily works the Obliques.  Emphasis placed on the lower quadrant of the abs.</p>
<p> </p>",2015-02-06,10,"[14, 6]",[],[],2,2,nate303303,"[303, 166, 125, 126, 631]"
122,9e672a47-ad9e-4ae1-8fbe-011646da1c37,Fly With Cable,237,2,,2013-05-05,11,[4],[],[],2,1,wger.de,"[122, 145, 146, 206]"
145,754391c6-39d5-4bb6-a311-68a520f6fd3a,Fly With Dumbbells,238,2,"<p>Take two dumbbells and lay on a bench, make sure the feet are firmly on the ground and your back is not arched, but has good contact with the bench. The arms are stretched in front of you, about shoulder wide. Bend now the arms a bit and let them down with a half-circle movement to the side. Without changing the angle of the elbow bring them in a fluid movement back up.</p>",2013-05-05,11,[4],[],[3],2,1,wger.de,"[122, 145, 146, 206]"
146,acf1f2df-46c4-49a3-8e6c-2979ea4204b1,"Fly With Dumbbells, Decline Bench",239,2,"<p>The exercise is the same as with a regular bench:</p>
<p>Take two dumbbells and lay on a bench, make sure the feet are firmly on the ground and your back is not arched, but has good contact with the bench. The arms are stretched in front of you, about shoulder wide. Bend now the arms a bit and let them down with a half-circle movement to the side. Without changing the angle of the elbow bring them in a fluid movement back up.</p>",2013-05-05,11,[4],[],[3],2,1,wger.de,"[122, 145, 146, 206]"
874,87d5edb6-3ecf-4ff3-aa52-38a764e95120,Forward Lunge,241,2,"<p>Start at a standing position. Lift and move one foot forward until your front calf and thigh are at 90 degrees to one another. At the same time, bend your back leg forward while keeping the back foot in place. Return to starting position. Repeat with other leg.</p>",2021-03-03,9,[],[],[7],2,2,TheDarkerKnight,[]
85,ee00d53e-4482-44aa-b780-bbc570061841,French Press (skullcrusher) Dumbbells,245,2,"<p>Hold the dumbbells and lay down on a flat bench in such a way that around 1/4 of your head is over the edge. Stretch your arms with the weights and bend them so that the dumbbells are lowered (make sure they don't touch each other). Just before they touch your forehead, push them up.</p>
<p>Pay attention to your elbows and arms: only the triceps are doing the work, the rest of the arms should not move.</p>",2013-05-05,8,[5],[],"[8, 3]",2,1,wger.de,"[88, 217, 85, 84, 386, 218, 186]"
84,ee4a350b-c681-407f-a414-6ec243809ec7,French Press (skullcrusher) SZ-bar,246,2,"<p>Hold the SZ-bar and lay down on a flat bench in such a way that around 1/4 of your head is over the edge. Stretch your arms with the bar and bend them so that the bar is lowered. Just before it touches your forehead, push it up.</p>
<p>Pay attention to your elbows and arms: only the triceps are doing the work, the rest of the arms should not move.</p>",2013-05-05,8,[5],[],"[8, 2]",2,1,wger.de,"[88, 217, 85, 84, 386, 218, 186]"
233,a87de062-2101-4dc4-adda-328b4c722c6d,Front Raises,256,2,"<p>To execute the exercise, the lifter stands with their feet shoulder width apart and weights or resistance handles held by their side with a pronated (overhand) grip.</p>
<p>The movement is to bring the arms up in front of the body to eye level and with only a slight bend in the elbow. This isolates the anterior deltoid muscle (front of the shoulder) and uses the anterior deltoid to lift the weight.</p>
<p>When lifting it is important to keep the body still so the anterior deltoid is fully utilised; if the weight cannot be lifted by standing still then it is too heavy and a lower weight is needed. It is important to keep a slight bend in the elbow when lifting as keeping the elbow locked will add stress to the elbow joint and could cause injury.</p>
<p>A neutral grip, similar to that used in the hammer curl, can also be used. With this variation the weight is again raised to eye level, but out to a 45 degree angle from the front of the body. This may be beneficial for those with shoulder injuries, particularly those related to the rotator cuff.</p>",2014-03-24,13,[2],[],"[1, 3]",2,1,"Manu, wikipedia","[421, 233, 148, 149, 306, 237]"
191,f2e563d2-507b-4586-88c8-77652cd19648,Front Squats,257,2,<p>Squats</p>,2013-08-11,9,[8],[6],[1],2,1,sistab2,"[407, 342, 300, 191, 650, 389, 355, 160, 185, 111, 795, 387]"
326,bf9e572d-d138-43e9-a486-a5c6ad9033f8,Full Sit Outs,260,2,"<p>(A) Get in high plank position on your hands and toes.(B) Shift your weight to your left hand as you turn your body to the right; bend your right leg behind you and extend your right arm up. Return to the center and repeat on the opposite side. Continue, alternating sides.<strong>Make it easier:</strong> Don’t raise your arm after you bend your leg behind you.<strong>Make it harder:</strong> Balance with your arm and leg extended for two counts.</p>",2015-06-02,10,"[8, 14, 6]",[],[7],2,2,http://www.realsimple.com/health/fitness-exercise/,[]
408,97ae7d90-a4b2-472c-bf7b-826df674622c,Glute Bridge,265,2,"<p>Lie on you back with your hips and knees flexed, feet on the ground. From this position, raise your butt off of the ground to a height where your body makes a straight line from your knees to your shoulders. To make the exercise more intense, you can add weight by letting a barbell rest on your hips as you complete the motion, or you can put your feet on a slightly higher surface such as a step or a bench.</p>",2016-07-31,9,[8],[11],[],2,2,tdprice12,[]
116,6e862700-3d63-486c-99ae-744c68d2f753,Good Mornings,268,2,,2013-05-05,9,[11],[],[],2,1,wger.de,[]
86,6dcc9adb-939c-4581-9e44-d0d73753997b,Hammercurls,272,2,"<p>Hold two dumbbells and sit on a bench with a straight back, the shoulders are slightly rolled backwards. Your pals point to your body. Bend the arms and bring the weight up with a fast movement. Don't rotate your hands, as with the curls. Without any pause bring the dumbbell down with a slow, controlled movement.</p>
<p>Don't swing your body during the exercise, the biceps should do all the work here. The elbows are at your side and don't move.</p>",2013-05-05,8,[1],[],[3],2,1,wger.de,"[74, 81, 80, 129, 275, 298, 86, 138, 193, 208, 205, 768, 305]"
138,5baf40e5-ea3c-4f8d-b60a-d294ee2de55b,Hammercurls on Cable,275,2,"<p>Take a cable in your hands (palms parallel, point to each other), the body is straight. Bend the arms and bring the weight up with a fast movement. Without any pause bring it back down with a slow, controlled movement, but don't stretch completely your arms.</p>
<p>Don't swing your body during the exercise, the biceps should do all the work here. The elbows are at your side and don't move.</p>",2013-05-05,8,[1],[13],[],2,1,wger.de,"[74, 81, 80, 129, 275, 298, 86, 138, 193, 208, 205, 768, 305]"
317,1ec5352f-41da-408b-8e6c-3fef79475847,Hand Grip,279,2,<p>chrome Hand Flex Grip to build up forearms muscles</p>,2015-03-07,8,[],[],[],2,2,vince63,[]
807,f568e69c-5fe8-4288-a0c3-926087b8c4e3,Handstand Pushup,282,2,"The handstand push-up (press-up) - also called the vertical push-up (press-up) or the inverted push-up (press-up) also called commandos- is a type of push-up exercise where the body is positioned in a handstand. For a true handstand, the exercise is performed free-standing, held in the air. To prepare the strength until one has built adequate balance, the feet are often placed against a wall, held by a partner, or secured in some other way from falling. Handstand pushups require significant strength, as well as balance and control if performed free-standing.",2020-05-11,13,"[9, 5]",[],[7],2,3,BFad07,[]
166,5aab5983-55d6-4d4c-a24e-bc18704f50c5,Hanging Leg Raises,283,2,"<p>Hanging from bar or straps, bring legs up with knees extended or flexed</p>",2013-06-22,10,[6],[],[],2,1,robhoyt,"[303, 166, 125, 126, 631]"
291,3329b890-685a-475d-b8e5-42362711b445,Hercules Pillars,284,2,<p>Grab two cables stand in the middle so both have tension and hold</p>,2014-11-02,8,"[1, 13, 5]",[2],[],2,1,GrosseHund,[]
304,d79e7078-0dd3-4b49-8947-731e6aaa1de0,High Knee Jumps,285,2,"<p>-Start with legs slightly wider than shoulder width</p>
<p>-Drop into a bodyweight squat</p>
<p>-As you hit the bottom of the squat, explode upwards into a jump while simultaneously tucking your knees into your chest midflight.  Remain tucked until the apex of your jump.</p>
<p>-Land on both feet, making sure your knees are not locked so as to avoid excessive strain upon your joints.  Collect yourself into the next rep as quickly but under control as possible.</p>",2015-02-06,9,"[11, 7, 10, 15]","[14, 6, 3]",[],2,2,nate303303,[]
432,e5b6bf59-d933-416e-8228-75c0e7de5dd9,High Knees,288,2,"<p>-Start with legs at a comfortable standing width</p>
<p>-Run in place, bringing knees to or above waist level</p>",2016-11-02,9,"[7, 10, 15]",[6],[],2,3,BNolet,[]
164,a0d1e216-4517-46db-ac4c-fa11686fd513,High Pull,289,2,"<p>Use a light barbell, perform explosive lift up starting from underneath knee cap level. Lift/raise explosively using hips, at shoulder level. Tempo: 2111</p>",2013-06-21,13,[2],[8],[],2,1,Mahoney,[]
650,06dee092-b84a-40b4-986f-b0b3e64adc22,Hindu Squats,291,2,"<p>Start with your feet shoulder width apart and arms slightly behind your back.</p>
<p>As you descend towards the floor, raise your heels off the ground, while keeping your back as vertical  as possible. </p>
<p>Upon attaining the bottom position, touch the hands to the heels.</p>
<p>Then stand up ending with the heels on the ground, arms extended in front of the chest then rowing into the start position.</p>",2019-08-18,9,[10],[8],[],2,2,Vilhelmo,"[407, 342, 300, 191, 650, 389, 355, 160, 185, 111, 795, 387]"
376,5b12d361-be23-4f61-94af-0cc1665711ca,"Hip Raise, Lying",292,2,"Lying down on your back, with your feet flat on the floor. Raise your hips up evenly as high as you can and hold for as long as you can.",2016-01-23,12,"[11, 8]","[12, 14, 6, 9]",[7],2,2,James Mackay,[]
854,37097633-de80-4271-9b7c-291f359e0ef4,Hip Thrust,294,2,"<p>The bar should go directly on your upper thigh, directly below your crotch. Your feet should be directly under your knees. Push your hips up so that you form a straight line from your knees to your shoulders. Use a pad for comfort.</p>",2020-10-31,9,[8],[],"[1, 8]",2,2,Bret Contreras,[]
383,9910d61d-b5d4-44fe-8b5f-00fa6e2aaf76,Hollow Hold,297,2,"<p>Get on a mat and lie on your back. Contract your abs, stretch your raise and legs and raise them (your head and shoulders are also be raised). Make sure your lower back remains in contact with the mat.</p>",2016-02-16,10,"[14, 6]",[],"[4, 7]",2,3,Behrooz,[]
128,f57a0c60-7d37-4eb3-a94e-1a90292e8c02,Hyperextensions,301,2,"<p>Lay on the hyperextension pad with the belly button just at the leading edge, the upper body can hang freely. Tense your whole back's muscles and bring your upper body up till it is horizontal, but not more. Go slowly down and don't relax your muscles.</p>",2013-05-05,12,[9],[],[],2,1,wger.de,[]
163,6cfd927c-8009-4cc2-9501-acb3db417396,Incline Bench Press,305,2,"<p>To do slowly, tempo is 4010</p>",2013-06-21,11,[4],[5],"[1, 9]",2,1,Mahoney,"[192, 100, 101, 163, 210, 211, 270, 399]"
206,7327ab51-7073-4c84-9e3f-2e83af40e96c,Incline Dumbbell Flye,308,2,"<p>Use inclined bench. Hold dumbbells straight out to your sides, elbows slightly bent. Bring arms together above you, keeping angle of elbows fixed.</p>",2014-01-15,11,[4],[],"[3, 9]",2,1,tuckerm,"[122, 145, 146, 206]"
210,15c5dfa0-4103-4515-979d-807eee8faa53,Incline Dumbbell Press,309,2,"<ul>
<li>Bench should be angled anywhere from 30 to 45 degrees</li>
<li>Be sure to press dumbbells straight upward (perpendicular to the floor)</li>
</ul>",2014-02-01,11,[4],[],"[3, 9]",2,1,tuckerm,"[192, 100, 101, 163, 210, 211, 270, 399]"
340,fbbebbfc-a5b2-4573-8914-147ff60cb7c5,Incline Dumbbell Row,310,2,"<ol>
<li>Using a neutral grip, lean into an incline bench.</li>
<li>Take a dumbbell in each hand with a neutral grip, beginning with the arms straight. This will be your starting position.</li>
<li>Retract the shoulder blades and flex the elbows to row the dumbbells to your side.</li>
<li>Pause at the top of the motion, and then return to the starting position.</li>
</ol>",2015-07-21,12,[],[12],"[8, 3]",2,2,cal.zabel,"[412, 362, 109, 110, 340, 214, 202, 670, 142, 108, 106, 339]"
165,39c416c8-64db-4330-9d37-c41ec70048fb,Incline Plank With Alternate Floor Touch,312,2,"<p>Perform the plank with legs elevated, feet on a gymball. Once stabilised, slowly move one foot sideways off the ball, then make it touch the floor, then come back to starting position. Alternate with the other foot.</p>
<p>This is a core exercise.</p>",2013-06-21,10,[6],[14],[],2,1,Mahoney,[]
168,2d728ea9-9e80-4d16-9d6c-801e1e4b4d0b,Incline Pushups,313,2,<p>Regular push with a 30 degree incline.</p>,2013-07-01,11,[4],[11],[],2,1,kwrindy,"[260, 168, 182, 790, 302]"
338,20b88059-3958-4184-9134-b48656ad868d,Isometric Wipers,314,2,"<p>Assume push-up position, with hands slightly wider than shoulder width.</p>
<p>Shift body weight as far as possible to one side, allowing the elbow on that side to flex. </p>
<p>Reverse the motion, moving completely over to the other side.</p>
<p>Return to the starting position, and repeat for the desired number of repetitions.</p>",2015-07-21,11,[4],[6],[7],2,2,cal.zabel,[]
423,7277d3bb-e68b-48fb-829e-37e13268f124,Jogging,319,2,"<p>Get your shoes on, go outside and start running at a moderate pace.</p>",2016-10-01,9,[],[],[],2,2,Papazit,[]
810,75ab9694-63f2-4794-ae2f-e93abb2255b8,Jumping Jacks,320,2,"<p>A jumping jack or star jump, also called side-straddle hop in the US military, is a physical jumping exercise performed by jumping to a position with the legs spread wide and the hands going overhead, sometimes in a clap, and then returning to a position with the feet together and the arms at the sides</p>",2020-05-28,9,[10],[],[],2,2,student1234,[]
249,9d1b45e0-0689-411d-915b-5c5e3452e2b0,Kettlebell Swings,331,2,"<p>Hold the kettlebell securely in both hands. Keep your back flat throughout the move, avoiding any rounding of the spine.Keeping your knees ""soft"", hinge your hips backwards, letting the kettlebell swing between your knees.</p>
<p>You want to bend from the hips as far as you can <em>without letting your back round forwards</em>. Then, snap your hips forwards quickly and standing up straight, locking your body in an upright posture.</p>
<p>The speed you do this will cause your arms and the kettlebell to swing up in front of you. Don't try to <em>lift</em> the kettlebell with your arms. The snapping forwards of your hips will cause the kettlebell to swing forwards through momentum. Depending on the weight of the kettlebell and the speed of your hip movement, your arms will swing up to about shoulder height. At the top of this swing, let your hips hinge backwards again as the kettlebell swings back down to between your legs and the start of the next repetition.</p>",2014-04-18,9,[8],[11],[],2,1,"J120290,cerin",[]
148,5345766a-c092-457a-aa21-8ee6ffa855d4,Lateral Raises,348,2,<p>.</p>,2013-05-05,13,[2],[],[3],2,1,wger.de,"[421, 233, 148, 149, 306, 237]"
149,79a3a34c-262f-4cae-b827-b5a85b11b860,"Lateral Raises on Cable, One Armed",349,2,<p>.</p>,2013-05-05,13,[2],[],[],2,1,wger.de,"[421, 233, 148, 149, 306, 237]"
306,aba7ba7a-6ff0-47d4-ab66-8952e21e38c5,Lateral-to-Front Raises,351,2,"<p>-(1) Perform a lateral raise, pausing at the top of the lift (2).</p>
<p>-Instead of lowering the weight, bring it to the front of your body so that you appear to be at the top position of a front raise.  You will do this by using a Pec Fly motion, maintaining straight arms. (3)</p>
<p>-Now lower the weight to your quadriceps, or, in other words, lower the dumbbells as though you are completing a Front Raise repetition. (4)</p>
<p>-Reverse the motion:  Perform a front raise (5), at the apex of the lift use a Reverse Fly motion to position the weights at the top of a Lateral Raise (6), and finally, lower the weights until your palms are essentially touching the sides of your thighs (7).  THIS IS ONE REP.</p>
<p>(1) l  <em>front view  </em>(2) -l- <em> FV  </em>  (3) l-  <em>side view</em>   (4) l  <em>SV/FV</em>   (5) l-  <em>SV  </em> (6) -l-  <em>FV  </em>  (7)  l  <em>FV/SV</em></p>",2015-02-06,13,"[2, 9]",[],[3],2,2,nate303303,"[421, 233, 148, 149, 306, 237]"
188,dbe77958-51a8-4412-9927-4b24d80ed44f,Lat Pull Down (Leaning Back),354,2,"<p>Lean Back, Pull into chest</p>",2013-08-04,12,[12],[],[],2,1,drthurlow,"[213, 188, 187, 216, 215, 212, 424, 204]"
187,1f2d6fd6-bb93-424b-834e-e91dee52dcf3,Lat Pull Down (Straight Back),355,2,<p>Pull bar down to strenum and keep straight back.</p>,2013-08-04,12,[12],[],[],2,1,drthurlow,"[213, 188, 187, 216, 215, 212, 424, 204]"
792,43f534f6-fca3-4ad0-beda-0c68a0a5f0f8,Leg Curl,364,2,"The leg curl, also known as the hamstring curl, is an isolation exercise that targets the hamstring muscles. The exercise involves flexing the lower leg against resistance towards the buttocks. Other exercises that can be used to strengthen the hamstrings are the glute-ham raise and the deadlift.",2020-04-26,9,"[11, 8]",[],[],2,3,BFad07,"[792, 154, 117, 118]"
154,cd4fac32-48fb-4237-a263-a44c5108790a,Leg Curls (laying),365,2,"<p>Lay on a bench and put your calves behind the leg holder (better if they are hold on around the lower calves). Hold a grip on the bars to make sure the body is firmly in place. Bend your legs bringing the weight up, go slowly back. During the exercise the body should not move, all work is done by the legs.</p>",2013-05-08,9,[11],[],[],2,1,wger.de,"[792, 154, 117, 118]"
117,61950a59-be4e-43cc-abc1-cb52abd15354,Leg Curls (sitting),366,2,,2013-05-05,9,[11],[],[],2,1,wger.de,"[792, 154, 117, 118]"
118,89c98117-dd53-4334-bfa6-72a96525629a,Leg Curls (standing),367,2,,2013-05-05,9,[11],[],[],2,1,wger.de,"[792, 154, 117, 118]"
796,ef9e44cc-dfe7-42ad-a788-2c1061c66069,Leg Extension,368,2,"The leg extension is a resistance weight training exercise that targets the quadriceps muscle in the legs. The exercise is done using a machine called the Leg Extension Machine. There are various manufacturers of these machines and each one is slightly different. Most gym and weight rooms will have the machine in their facility. The leg extension is an isolated exercise targeting one specific muscle group, the quadriceps. It should not be considered as a total leg workout, such as the squat or deadlift. The exercise consists of bending the leg at the knee and extending the legs, then lowering them back to the original position.",2020-04-26,9,[10],[],[],2,3,BFad07,[]
804,57e739b5-e931-405f-a548-d419a70ea602,Leg Extension,369,2,"The leg extension is a resistance weight training exercise that targets the quadriceps muscle in the legs. The exercise is done using a machine called the Leg Extension Machine. There are various manufacturers of these machines and each one is slightly different. Most gym and weight rooms will have the machine in their facility. The leg extension is an isolated exercise targeting one specific muscle group, the quadriceps. It should not be considered as a total leg workout, such as the squat or deadlift. The exercise consists of bending the leg at the knee and extending the legs, then lowering them back to the original position.",2020-05-11,9,[10],[],[],2,3,BFad07,[]
177,a24a0521-6391-419c-bd89-795bba0eb5ee,Leg Extension,370,2,<p>Seated Leg Extension Machine</p>,2013-07-19,9,[10],[],[],2,1,kwrindy,[]
788,6c8e863c-f6c2-4ad0-a0e9-5e6d9e6a928b,Leg Press,371,2,The leg press is a weight training exercise in which the individual pushes a weight or resistance away from them using their legs.,2020-04-26,9,"[11, 7, 8, 10]","[7, 8]",[],2,3,BFad07,"[788, 115, 114, 130]"
115,560e1a20-33e1-45db-ba5b-63f8c51af76d,Leg Presses (narrow),373,2,"<p>The exercise is very similar to the wide leg press:</p>
<p>Sit on the machine and put your feet on the platform so far apart  that you could just put another foot in between them. The feet are parallel and point up.</p>
<p>Lower the weight so much, that the knees form a right angle. Push immediately the platform up again, without any pause. When in the lower position, the knees point a bit outwards and the movement should be always fluid.</p>",2013-05-05,9,[10],[8],[],2,1,wger.de,"[788, 115, 114, 130]"
114,3caed096-c65e-434d-9792-33db636743e7,Leg Presses (wide),374,2,"<p>Sit on the machine and put your feet on the platform, a bit more than shoulder wide. The feet are turned outwards by a few degrees.</p>
<p>Lower the weight so much, that the knees form a right angle. Push immediately the platform up again, without any pause. When in the lower position, the knees point a bit outwards and the movement should be always fluid.</p>",2013-05-05,9,[10],[8],[],2,1,wger.de,"[788, 115, 114, 130]"
130,2966e4a2-4306-4cb5-a2dc-8951cd192555,Leg Press on Hackenschmidt Machine,375,2,,2013-05-05,9,[10],[],[],2,1,wger.de,"[788, 115, 114, 130]"
791,d543595d-bbad-40b8-a9a4-e67cbdb76490,Leg Raise,376,2,"The leg raise is a strength training exercise which targets the iliopsoas (the anterior hip flexors). Because the abdominal muscles are used isometrically to stabilize the body during the motion, leg raises are also often used to strengthen the rectus abdominis muscle and the internal and external oblique muscles.",2020-04-26,9,"[14, 6]",[],[],2,3,BFad07,[]
125,7c3cc0ce-e335-4f5c-aa32-1576a908a539,"Leg Raises, Lying",377,2,<p>Lay down on a bench and hold onto the recliner with your hands to keep you stable. Hold your legs straight and lift them till they make an angle of about 45°. Make a short pause of 1 sec. and go slowly down to the initial position. To increase the intensity you can make a longer pause of 7 sec. every 5th time.</p>,2013-05-05,10,[6],[3],[4],2,1,wger.de,"[303, 166, 125, 126, 631]"
126,3d8273d2-1fbe-4a8f-99a6-d2b5e204cb41,"Leg Raises, Standing",378,2,"<p>Put your forearms on the pads on the leg raise machine, the body is hanging freely. Lift now your legs with a fast movement as high as you can, make a short pause of 1sec at the top, and bring them down again. Make sure that during the exercise your body does not swing, only the legs should move.</p>",2013-05-05,10,[6],[3],[],2,1,wger.de,"[303, 166, 125, 126, 631]"
211,a36e5cec-3b9d-4dd5-a3fb-cbcc78a97c3b,Leverage Machine Chest Press,379,2,<p>Be sure to adjust seat height so that the handles are towards the bottom of your pectorals.</p>,2014-02-01,11,[4],[],[],2,1,tuckerm,"[192, 100, 101, 163, 210, 211, 270, 399]"
214,212e98e1-3917-422c-a030-8b312e6b1812,Leverage Machine Iso Row,380,2,<p>Adjust seat height so that the handles are at the bottom of your pectorals or just below.</p>,2014-02-01,12,[12],[],[],2,1,tuckerm,"[412, 362, 109, 110, 340, 214, 202, 670, 142, 108, 106, 339]"
281,e1881607-9418-4bcc-8c69-2301a579637e,L Hold,382,2,<p>Hold the L position for as long as possible</p>,2014-10-30,10,[],[],[],2,1,bizyguy,[]
143,b192c4eb-31c6-458e-b566-d3f38b5aa30c,Long-Pulley (low Row),394,2,"<p>Sit down, put your feet on the supporting points and grab the bar with a wide grip. Pull the weight with a rapid movement towards your belly button, not upper. Keep your arms and elbows during the movement close to your body. Your shoulders are pulled together. Let the weight slowly down till your arms are completely stretched.</p>",2013-05-05,12,[12],"[1, 13]",[],2,1,wger.de,[]
144,bcabc8cf-c005-4630-8853-ef4922e7fd91,"Long-Pulley, Narrow",395,2,"<p>The exercise is the same as the regular long pulley, but with a narrow grip:</p>
<p>Sit down, put your feet on the supporting points and grab the bar with a wide grip. Pull the weight with a rapid movement towards your belly button, not upper. Keep your arms and elbows during the movement close to your body. Your shoulders are pulled together. Let the weight slowly down till your arms are completely stretched.</p>",2013-05-05,12,[12],"[1, 13]",[],2,1,wger.de,[]
389,222e10a6-e3ba-40fd-9598-6c1d664b450a,Low Box Squat - Wide Stance,397,2,"<p>Unrack the bar and set your stance wide, beyond your hips.  Push your hips back and sit down to a box that takes you below parallel.  Sit completely down, do not touch and go.  Then explosively stand up.  Stay tight in your upper back and torso throughout the movement.</p>",2016-03-11,9,"[8, 10]",[],[1],2,2,taylorbarbell,"[407, 342, 300, 191, 650, 389, 355, 160, 185, 111, 795, 387]"
312,5708d3c5-0016-446b-b3f4-54b2120e8297,Lying Rotator Cuff Exercise,406,2,"<p>This is an excercise for problems with the levator muscles. Primary  Infraspinatus, secondary Teres Minor.</p>
<p>Lying on side. Keep elbow on waist and in 90 dgr angle. Rotate towards stomach. Add weight as fit.</p>",2015-02-22,13,[],[],[3],2,2,Trix,[]
141,a81d18a0-6280-44f8-ab5a-166d016e858e,MGM Machine,414,2,,2013-05-05,12,[12],[],[],2,1,wger.de,[]
256,8aadcd68-f085-44a0-a897-8b6ecf827ed0,Military Press,418,2,"<p>On an SZ-bar grip your hands on the outside of each bend and stand with your arms straight down, palms facing your legs. Pull the bar (bending your arms at the elbow) to your chest, and the push the bar above your head (arms as straight as possible). Return the bar to your chest by dropping your arms at the elbows. Return the bar to it's origional position (stand with your arms straight down, palms facing your legs.)</p>",2014-06-12,8,[],[],[2],2,1,mbozi1,[]
229,89e6d2ea-9a17-4a77-9a52-d5bcf39d57fd,Military Press,416,2,"<p>The military press is a variation of the overhead press weight training exercise using very strict form and no pre-movement momentum.The military press targets the deltoid muscles in the shoulders as well as the triceps. Additionally, it works the core and legs, which the lifter uses to help stabilize the weight.The lift begins with the lifter standing and the barbell on the anterior deltoids. The lifter then raises the barbell overhead by pressing the palms of the hands against the underside of the barbell.</p>",2014-03-09,13,[2],"[4, 5]",[1],2,1,Wikipedia,"[227, 329, 229, 190, 119, 123, 152, 155]"
626,85b2f07b-2ce3-4c85-82ab-474a6e5620b2,Muscle up,423,2,"<p>The body is then explosively pulled up by the arms in a radial pull-up, with greater speed than a regular pull-up. When the bar approaches the upper chest, the wrists are swiftly flexed to bring the forearms above the bar. The body is leaned forward, and the elbows are straightened by activating the triceps. The routine is considered complete when the bar is at the level of the waist and the arms are fully straight.</p>
<p>To dismount, the arms are bent at the elbow, and the body is lowered to the floor, and the exercise can be repeated.</p>
<p>As a relatively advanced exercise, muscle-ups are typically first learned with an assistive kip. The legs swing (kip) up and provide momentum to assist in the explosive upward force needed to ascend above the bar. More advanced athletes can perform a strict variation of the muscle-up which is done slowly, without any kip. This variation begins with a still dead hang and uses isometric muscle contraction to ascend above the bar in a slow, controlled fashion.</p>",2019-02-01,12,"[1, 11]",[],[6],2,2,arson,[]
93,4bd55b0a-559a-4458-aabd-e66619b63610,Negative Crunches,427,2,"<p>Sit yourself on the decline bench and fix your legs. Cross your arms over the chest and bring with a rolling movement your upper body up, go now without a pause and with a slow movement down again. Don't let your head move during the exercise.</p>",2013-05-05,10,[6],[],[],2,1,wger.de,"[91, 94, 92, 416, 93, 176, 95, 170]"
197,e7fdd8fb-5e07-4a29-9d56-a005338b2e19,Overhand Cable Curl,439,2,"<p>Hands at shoulder height, curl arms in toward head, then back out.</p>",2013-09-22,10,[1],[],[],2,1,ThisGirl0819,[]
355,b9c97cec-ffc7-4e9a-8ecc-08b285aed3b4,Overhead Squat,441,2,"<p>The barbell is held overhead in a wide-arm snatch grip; however, it is also possible to use a closer grip if balance allows.</p>",2015-11-22,9,[],[],[],2,2,geraldbaeck,"[407, 342, 300, 191, 650, 389, 355, 160, 185, 111, 795, 387]"
270,625aefd5-7ba2-40e9-bdc3-7d3ab1bcf3b8,Pause Bench,445,2,"<p>Lower the bar to your chest and pause (but do not rest) there for 2 seconds. Press back up. use the same weight you would on bench press, but perform only single reps. Total the number of reps you did in one set of bench press (if you did 3 sets of 8 do 8 sinlge pause bench reps.</p>",2014-09-08,11,[4],[5],"[1, 8]",2,3,Mens Fitness,"[192, 100, 101, 163, 210, 211, 270, 399]"
202,eed05679-d1cb-44a2-a17d-dd5b0097c874,Pendelay Rows,448,2,<p>Back excercise with a barbell with a starting position which is in a bent over position with the back paralell to the ground. The barbell is on the ground at chest level.For the movement grab the barbell at shoulder width grip and pull towards your chest without losing the bent over position and without moving anything but your arms</p>,2014-01-06,12,"[12, 9]","[1, 5]",[1],2,1,Nallitnas,"[412, 362, 109, 110, 340, 214, 202, 670, 142, 108, 106, 339]"
